"Status","Name","Duration in ms","Description"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_taurus_cloud_split_csv.test_split_csv[csv]","167955",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_autojmx_versions_via_test[2_8.jmx-expected2]","783",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_account_name_localization[\u05e2\u05d1\u05e8\u05d9\u05ea]","173",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_system_admin_users_actions.test_turn_on_and_off_role_to_user[blablablabla-fail]","714",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_open_folder","799",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_unlimited_testing.test_run_test_without_concurrency[taurus.yml]","66636",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_failure_criteria.test_failure_criteria_success[v4]","148492",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_taurus_cloud_logs.test_periodic_upload_files","182251",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_override_load_configuration_in_jmx.test_verify_test_load_configuration_values_in_jmx[jmeter_test_no_override]","911",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_wipe_account.TestWipeAccount.test_verify_wiped_alert","170",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_resend_invitation","1155",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_remote_control.test_initial_jmeter_props_in_remote_control","1308",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_file_parsing.test_update_main_file_signed_s3_url","11889",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_autojmx_versions_via_info[jmeter_5.1.jmx-expected12]","1094",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_register_invited_user","28960",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_failure_criteria.test_add_failure_criteria[v4]","17740",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account_features.test_toggle_valid_features[disableResultsEmail-disable-False]","603",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_store_rampup_steps.test_store_rampup_invalid_steps[10-400]","296",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_usage_alerts.test_update_alert_with_wrong_values_negative[data0-Notification channel is missing]","327",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_multi.test_monitoring_files","118768",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_rps.test_rps_multi_test_v4","332174",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_file_parsing.test_update_involved_file_api","14661",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_file_parsing.test_shared_folder_update_main_file","10334",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_cancel_invitation","1537",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_failure_criteria.test_sliding_window[v3]","232591",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_services_dependency_integration.test_master_dependency_configuration[running_master_configuration2]","1",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_opl_support_matrix.test_opl_coverage_matrix[setup_ec2_instance8]","0","Assumes private key name in environment variables and key in local .ssh"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_create_illegal_folder_name[#]","191","Based on: http://docs.aws.amazon.com/AmazonS3/latest/dev/UsingMetadata.html"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_upgrade_subscription_private_plan","3072",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_account_name_localization[\xe9\xf4\u0153\xe5\xf8]","192",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_taurus_cloud.test_taurus_delayed_start_false","8569",""
"broken","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_report_timeline_report.test_kpi_values_invalid_filters","58",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account_features.test_toggle_invalid_features[dummyFeature1-enable]","375",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_reports_data.TestStaticReportExternalAccess.test_failure_criteria_report_master_on_prem_external_access[v3]","1",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_termination_api_permissions[billing-403]","10420",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_delete_none_existing_folder[False-NotFoundException]","160",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_file_parsing.test_update_main_file_api","13800",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_usage_alerts.test_create_usage_alert","796",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_workspace.test_create_new_workspace","448",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_provisioning.test_ready_test[provision_data0]","302628",""
